ATCF,Name,RecordNum,MaxWind,MinPressure,NextWind,NextWindHigher,Elevation,DeepOcean,Speed,Size34,Size50,Size64,WindInc,PressureInc,Size34Inc,Size50Inc,Size64Inc,ElevationInc,SpeedInc
AL072008,GUSTAV,1,25,1008,30,1,-5050,1,0,0,0,0,0,0,0,0,0,0,0
AL072008,GUSTAV,2,30,1005,35,1,-4786,1,13,0,0,0,5,-3,0,0,0,264,13
AL072008,GUSTAV,3,35,1002,50,1,-3922,1,12,60,0,0,5,-3,60,0,0,864,-1
AL072008,GUSTAV,4,50,996,60,1,-3826,1,11,75,20,0,15,-6,15,20,0,96,-1
AL072008,GUSTAV,5,60,991,75,1,-3900,1,9,75,20,0,10,-5,0,0,0,-74,-2
AL072008,GUSTAV,6,75,986,80,1,-2607,1,6,90,35,25,15,-5,15,15,25,1293,-3
AL072008,GUSTAV,7,80,981,70,0,-4403,1,7,90,40,25,5,-5,0,5,0,-1796,1
AL072008,GUSTAV,8,70,992,50,0,-633,1,8,75,40,15,-10,11,-15,0,-10,3770,1
AL072008,GUSTAV,9,50,995,45,0,119,0,4,75,20,0,-20,3,0,-20,-15,752,-4
AL072008,GUSTAV,10,45,999,45,0,-1036,1,3,75,0,0,-5,4,0,-20,0,-1155,-1
AL072008,GUSTAV,11,45,998,45,0,-1949,1,3,45,0,0,0,-1,-30,0,0,-913,0
AL072008,GUSTAV,12,45,999,40,0,-3301,1,3,45,0,0,0,1,0,0,0,-1352,0
AL072008,GUSTAV,13,40,999,45,1,-1949,1,10,60,0,0,-5,0,15,0,0,1352,7
AL072008,GUSTAV,14,45,995,60,1,-2373,1,7,75,0,0,5,-4,15,0,0,-424,-3
AL072008,GUSTAV,15,60,984,60,0,-1325,1,3,100,20,0,15,-11,25,20,0,1048,-4
AL072008,GUSTAV,16,60,984,60,0,-340,1,4,100,20,0,0,0,0,0,0,985,1
AL072008,GUSTAV,17,60,987,60,0,-4,0,7,130,30,0,0,3,30,10,0,336,3
AL072008,GUSTAV,18,60,987,55,0,120,0,6,130,30,0,0,0,0,0,0,124,-1
AL072008,GUSTAV,19,55,990,50,0,378,0,7,180,40,0,-5,3,50,10,0,258,1
AL072008,GUSTAV,20,50,989,65,1,-134,1,7,180,60,0,-5,-1,0,20,0,-512,0
AL072008,GUSTAV,21,65,984,75,1,-4814,1,9,220,85,25,15,-5,40,25,25,-4680,2
AL072008,GUSTAV,22,75,975,85,1,-6750,1,8,240,110,50,10,-9,20,25,25,-1936,-1
AL072008,GUSTAV,23,85,968,110,1,-2571,1,9,240,120,60,10,-7,0,10,10,4179,1
AL072008,GUSTAV,24,110,955,125,1,-3595,1,12,240,150,75,25,-13,0,30,15,-1024,3
AL072008,GUSTAV,25,125,943,135,1,-2,0,12,240,150,85,15,-12,0,0,10,3593,0
AL072008,GUSTAV,26,135,941,120,0,-1,0,14,250,155,80,10,-2,10,5,-5,1,2
AL072008,GUSTAV,27,120,950,105,0,227,0,14,260,165,90,-15,9,10,10,10,228,0
AL072008,GUSTAV,28,105,960,100,0,-3203,1,12,295,180,75,-15,10,35,15,-15,-3430,-2
AL072008,GUSTAV,29,100,961,95,0,-3360,1,15,310,180,70,-5,1,15,0,-5,-157,3
AL072008,GUSTAV,30,95,960,95,0,-3230,1,15,340,180,85,-5,-1,30,0,15,130,0
AL072008,GUSTAV,31,95,953,95,0,-2817,1,13,360,210,100,0,-7,20,30,15,413,-2
AL072008,GUSTAV,32,95,954,95,0,-1358,1,15,360,200,100,0,1,0,-10,0,1459,2
AL072008,GUSTAV,33,95,955,90,0,-19,0,14,350,190,110,0,1,-10,-10,10,1339,-1
